DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO|OP_NOMBRE
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5075.0|BELLAVISTA|F|13581.0|7326.0|117.0|534.0|57.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5075.0|BELLAVISTA|M|13581.0|6375.0|86.0|496.0|57.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5080.0|CAÑARIBAMBA|F|13581.0|4165.0|49.0|295.0|27.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5080.0|CAÑARIBAMBA|M|13581.0|3759.0|40.0|287.0|23.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5135.0|EL BATAN|F|13581.0|5675.0|127.0|373.0|36.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5135.0|EL BATAN|M|13581.0|5190.0|115.0|339.0|30.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5140.0|MACHANGARA|F|13581.0|4165.0|113.0|287.0|22.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5140.0|MACHANGARA|M|13581.0|3740.0|80.0|280.0|25.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5290.0|MONAY|F|13581.0|5766.0|110.0|409.0|40.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5290.0|MONAY|M|13581.0|4963.0|86.0|309.0|42.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5330.0|EL VECINO|F|13581.0|17306.0|431.0|1253.0|110.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
